epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,0.3137874531835206,0.747466395284739,0.6628057725755213,0.574686540347927,0.3006357856494096,0.7315950920245399,0.5617301161451398,0.5313203312730298
1,0.3449204119850187,0.833700829693706,0.7525471903265011,0.6437228106684086,0.3315168029064487,0.7794874332079953,0.5767736263664274,0.562592620826957
2,0.5475187265917603,0.8733621676631472,0.8071095348050273,0.7426634763533116,0.46139872842870117,0.765980605580843,0.6192067765534489,0.6155287035209978
3,0.5739700374531835,0.923016579739643,0.8476176923996164,0.7815347698641476,0.44141689373297005,0.7742924995052444,0.6356115804427321,0.6171069912269821
4,0.6255852059925093,0.9373984084580701,0.8704357531185873,0.8111397891897223,0.4305177111716621,0.7694438947160103,0.6562674706650811,0.6187430255175844
5,0.6577715355805244,0.9560841849354761,0.88082168773025,0.8315591360820834,0.44595821980018163,0.771175539283594,0.662239386889764,0.6264577153245132
6,0.8082865168539326,0.9478508530155904,0.8918269184795848,0.8826547627830359,0.45322434150772023,0.7526716801899861,0.6760391300825862,0.6273117172600976
7,0.7153558052434457,0.9825015194561054,0.8970285133024248,0.8649619460006587,0.444141689373297,0.7884425094003562,0.6829077076744723,0.6384973021493752
8,0.8077013108614233,0.9682256993031704,0.9109705190966314,0.8956325097537418,0.45049954586739327,0.7542054225212745,0.6629914596597775,0.6225654760161484
9,0.8431647940074907,0.9821198886203338,0.9142838614061775,0.9131895146780007,0.44141689373297005,0.7783989709083713,0.6674225060250839,0.6290794568888084
