epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4550408719346049,0.8640411636651494,0.8476626387981961,0.7222482247993168
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5077202543142597,0.8808628537502474,0.8636969708912497,0.7507600263185856
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5177111716621253,0.8816049871363546,0.8686852459215582,0.7560004682400127
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5113533151680291,0.881506036018207,0.8675079231354406,0.7534557581072256
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5204359673024523,0.887195725311696,0.8740609510628446,0.7605642145589977
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5131698455949137,0.8864535919255888,0.8688441381875895,0.7561558585693641
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5031789282470481,0.8867009697209578,0.8722922619717504,0.7540573866465854
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5158946412352406,0.8867999208391055,0.873347823021357,0.7586807950319011
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4904632152588556,0.8865030674846626,0.8741755605133196,0.7503806144189459
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.49591280653950953,0.8880862853750248,0.8707577670376029,0.7515856196507125
