epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4550408719346049,0.7579160894518108,0.7428310383432534,0.6519293332432231
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5049954586739328,0.7778547397585592,0.7575775760095735,0.6801425914806885
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47411444141689374,0.7859192558875915,0.7847477888747441,0.6815938287264097
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.485921889191644,0.7922026518899663,0.7731751509294216,0.6837665640036773
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47048138056312444,0.7798832376805858,0.7682598895377335,0.6728748359271478
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47956403269754766,0.7901741539679399,0.7830021020022432,0.6842467628892436
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4895549500454133,0.80313675044528,0.7840526189755276,0.6922481064887402
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47593097184377836,0.7988818523649317,0.7668223151610437,0.6805450464565846
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48047229791099,0.787947753809618,0.7713209174297131,0.6799136563834404
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48138056312443234,0.8068968929348902,0.7751380775723116,0.6878051778772113
