epoch,train_acc_sst,train_acc_para,train_acc_sts,train_acc,dev_acc_sst,dev_acc_para,dev_acc_sts,dev_acc
0,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47593097184377836,0.867405501682169,0.8692896344949946,0.7375420360069808
1,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48501362397820164,0.8775974668513754,0.8789189874278693,0.7471766927524821
2,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5004541326067211,0.8841282406491193,0.8790147912410982,0.7545323881656462
3,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5022706630336058,0.884771422917079,0.8823736011968383,0.7564718957158411
4,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.5022706630336058,0.8867504452800317,0.887185692898298,0.7587356004039784
5,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.48319709355131696,0.8857114585394815,0.8809378722492567,0.7499488081133517
6,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.47956403269754766,0.8881357609340985,0.8848356444204759,0.7508451460173741
7,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4986376021798365,0.8869483475163269,0.8888646190573175,0.7581501895844935
8,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4750227066303361,0.8870967741935484,0.8908173207621114,0.7509789338619987
9,skip to save time ,skip to save time ,skip to save time ,skip to save time ,0.4732061762034514,0.8898674055016822,0.893339136306118,0.7521375726704171
